time,{Tester}.TesterInstance.string_c,{Rabbit}.RabbitInstance.output_op_pos_y
0.0,,13,103449
0.1,13,103449,13,103449
0.2,13,103449,13,103449
0.30000000000000004,13,103449,13,103449
0.4,13,103449,13,103449
0.5,13,103449,13,103449
0.6,13,103449,13,103449
0.7,13,103449,13,103449
0.7999999999999999,13,103449,13,103449
0.8999999999999999,13,103449,13,103449
0.9999999999999999,13,103449,12,78953
1.0999999999999999,12,78953,12,78953
1.2,12,78953,12,78953
1.3,12,78953,12,78953
1.4000000000000001,12,78953,12,78953
1.5000000000000002,12,78953,12,78953
1.6000000000000003,12,78953,12,78953
1.7000000000000004,12,78953,12,78953
1.8000000000000005,12,78953,12,78953
1.9000000000000006,12,78953,12,78953
2.0000000000000004,12,78953,11,53885
2.1000000000000005,11,53885,11,53885
2.2000000000000006,11,53885,11,53885
2.3000000000000007,11,53885,11,53885
2.400000000000001,11,53885,11,53885
2.500000000000001,11,53885,11,53885
2.600000000000001,11,53885,11,53885
2.700000000000001,11,53885,11,53885
2.800000000000001,11,53885,11,53885
2.9000000000000012,11,53885,11,53885
3.0000000000000013,11,53885,9,940869
3.1000000000000014,9,940869,9,940869
3.2000000000000015,9,940869,9,940869
3.3000000000000016,9,940869,9,940869
3.4000000000000017,9,940869,9,940869
3.5000000000000018,9,940869,9,940869
3.600000000000002,9,940869,9,940869
3.700000000000002,9,940869,9,940869
3.800000000000002,9,940869,9,940869
3.900000000000002,9,940869,9,940869
4.000000000000002,9,940869,8,961826
4.100000000000001,8,961826,8,961826
4.200000000000001,8,961826,8,961826
4.300000000000001,8,961826,8,961826
4.4,8,961826,8,961826
4.5,8,961826,8,961826
4.6,8,961826,8,961826
4.699999999999999,8,961826,8,961826
4.799999999999999,8,961826,8,961826
4.899999999999999,8,961826,8,961826
4.999999999999998,8,961826,7,884304
5.099999999999998,7,884304,7,884304
5.1999999999999975,7,884304,7,884304
5.299999999999997,7,884304,7,884304
5.399999999999997,7,884304,7,884304
5.4999999999999964,7,884304,7,884304
5.599999999999996,7,884304,7,884304
5.699999999999996,7,884304,7,884304
5.799999999999995,7,884304,7,884304
5.899999999999995,7,884304,7,884304
5.999999999999995,7,884304,6,6017017
6.099999999999994,6,6017017,6,6017017
6.199999999999994,6,6017017,6,6017017
6.299999999999994,6,6017017,6,6017017
6.399999999999993,6,6017017,6,6017017
6.499999999999993,6,6017017,6,6017017
6.5999999999999925,6,6017017,6,6017017
6.699999999999992,6,6017017,6,6017017
6.799999999999992,6,6017017,6,6017017
6.8999999999999915,6,6017017,6,6017017
6.999999999999991,6,6017017,5,9198174
7.099999999999991,5,9198174,5,9198174
7.19999999999999,5,9198174,5,9198174
7.29999999999999,5,9198174,5,9198174
7.39999999999999,5,9198174,5,9198174
7.499999999999989,5,9198174,5,9198174
7.599999999999989,5,9198174,5,9198174
7.699999999999989,5,9198174,5,9198174
7.799999999999988,5,9198174,5,9198174
7.899999999999988,5,9198174,5,9198174
7.999999999999988,5,9198174,5,476679
8.099999999999987,5,476679,5,476679
8.199999999999987,5,476679,5,476679
8.299999999999986,5,476679,5,476679
8.399999999999986,5,476679,5,476679
8.499999999999986,5,476679,5,476679
8.599999999999985,5,476679,5,476679
8.699999999999985,5,476679,5,476679
8.799999999999985,5,476679,5,476679
8.899999999999984,5,476679,5,476679
8.999999999999984,5,476679,5,386514
9.099999999999984,5,386514,5,386514
9.199999999999983,5,386514,5,386514
9.299999999999983,5,386514,5,386514
9.399999999999983,5,386514,5,386514
9.499999999999982,5,386514,5,386514
9.599999999999982,5,386514,5,386514
9.699999999999982,5,386514,5,386514
9.799999999999981,5,386514,5,386514
9.89999999999998,5,386514,5,386514
9.99999999999998,5,386514,5,401552
