time,{Haptics}.HapticsInstance.output_hapticfeedback_x_to_middleware,{Haptics}.HapticsInstance.output_hapticfeedback_y_to_middleware,{Haptics}.HapticsInstance.output_hapticfeedback_z_to_middleware,{Haptics}.HapticsInstance.output_user_pos_x_to_middleware,{Haptics}.HapticsInstance.output_user_pos_y_to_middleware,{Haptics}.HapticsInstance.output_user_pos_z_to_middleware,{Haptics}.HapticsInstance.output_op_pos_x_to_middleware,{Haptics}.HapticsInstance.output_op_pos_y_to_middleware,{Haptics}.HapticsInstance.output_op_pos_z_to_middleware,{RabbitMQ}.RabbitMQInstances.output_user_pos_x_to_op,{RabbitMQ}.RabbitMQInstances.output_user_pos_y_to_op,{RabbitMQ}.RabbitMQInstances.output_user_pos_z_to_op,{OptimalPath}.OptimalPathInstance.output_user_pos_x_to_haptics,{OptimalPath}.OptimalPathInstance.output_user_pos_y_to_haptics,{OptimalPath}.OptimalPathInstance.output_user_pos_z_to_haptics,{OptimalPath}.OptimalPathInstance.output_op_pos_x_to_haptics,{OptimalPath}.OptimalPathInstance.output_op_pos_y_to_haptics,{OptimalPath}.OptimalPathInstance.output_op_pos_z_to_haptics,{OptimalPath}.OptimalPathInstance.output_errorscore_to_haptics
0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.3431033,13.103449,-1.7220789,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.3431033,13.103449,-1.7220789,1.3431033,13.103449,-1.7220789,1.34310329,13.1034489,-1.72207892,4.333333336603573E-8
0.55,-0.0,-0.0,-0.0,1.3431033,13.103449,-1.7220789,1.34310329,13.1034489,-1.72207892,1.2438637,13.231474,-1.9870908,1.3431033,13.103449,-1.7220789,1.2790761,13.1689634,-1.82553279,0.03398889666666616
1.05,-0.0,0.0,-0.0,1.3431033,13.103449,-1.7220789,1.2790761,13.1689634,-1.82553279,1.3563902,13.390214,-2.100776,1.2438637,13.231474,-1.9870908,1.28679371,13.2744036,-1.94416082,0.04292986333333326
1.55,0.0,0.0,0.0,1.2438637,13.231474,-1.9870908,1.28679371,13.2744036,-1.94416082,1.4608172,13.494052,-2.314161,1.3563902,13.390214,-2.100776,1.34982085,13.3836441,-2.10734534,0.006569530000000008
2.05,-0.0,-0.0,-0.0,1.3563902,13.390214,-2.100776,1.34982085,13.3836441,-2.10734534,1.4509398,13.447116,-2.57491,1.4608172,13.494052,-2.314161,1.410186,13.44342,-2.364792,0.05063140000000003
2.55,-0.0,-0.0,-0.0,1.4608172,13.494052,-2.314161,1.410186,13.44342,-2.364792,1.4529809,13.379785,-2.8454032,1.4509398,13.447116,-2.57491,1.4287926,13.4249687,-2.597057,0.022147166666666458
3.05,-0.0,-0.0,-0.0,1.4509398,13.447116,-2.57491,1.4287926,13.4249687,-2.597057,1.3284981,13.092136,-3.3571565,1.4529809,13.379785,-2.8454032,1.4033308,13.3301344,-2.89505339,0.04965029666666639
3.55,-0.0,-0.0,-0.0,1.4529809,13.379785,-2.8454032,1.4033308,13.3301344,-2.89505339,1.2857164,13.028946,-3.453154,1.3284981,13.092136,-3.3571565,1.29370046,13.0573387,-3.39195418,0.034797540000000016
4.05,-0.0,-0.0,-0.0,1.3284981,13.092136,-3.3571565,1.29370046,13.0573387,-3.39195418,1.1115096,12.810143,-3.8560534,1.2857164,13.028946,-3.453154,1.26704466,13.0102739,-3.47182584,0.01867189333333341
