time,{Haptics}.HapticsInstance.output_hapticfeedback_x_to_middleware,{Haptics}.HapticsInstance.output_hapticfeedback_y_to_middleware,{Haptics}.HapticsInstance.output_hapticfeedback_z_to_middleware,{Haptics}.HapticsInstance.output_user_pos_x_to_middleware,{Haptics}.HapticsInstance.output_user_pos_y_to_middleware,{Haptics}.HapticsInstance.output_user_pos_z_to_middleware,{Haptics}.HapticsInstance.output_op_pos_x_to_middleware,{Haptics}.HapticsInstance.output_op_pos_y_to_middleware,{Haptics}.HapticsInstance.output_op_pos_z_to_middleware,{RabbitMQ}.RabbitMQInstances.output_user_pos_x_to_op,{RabbitMQ}.RabbitMQInstances.output_user_pos_y_to_op,{RabbitMQ}.RabbitMQInstances.output_user_pos_z_to_op,{OptimalPath}.OptimalPathInstance.output_user_pos_x_to_haptics,{OptimalPath}.OptimalPathInstance.output_user_pos_y_to_haptics,{OptimalPath}.OptimalPathInstance.output_user_pos_z_to_haptics,{OptimalPath}.OptimalPathInstance.output_op_pos_x_to_haptics,{OptimalPath}.OptimalPathInstance.output_op_pos_y_to_haptics,{OptimalPath}.OptimalPathInstance.output_op_pos_z_to_haptics,{OptimalPath}.OptimalPathInstance.output_errorscore_to_haptics
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3431033,13.103449,-1.7220789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2615185,13.249128,-1.969436,1.3431033,13.103449,-1.7220789,1.34310329,13.1034489,-1.72207892,4.333333336603573E-8
1.0,-0.0,-0.0,-0.0,1.3431033,13.103449,-1.7220789,1.34310329,13.1034489,-1.72207892,1.3488626,13.382686,-2.1083035,1.2615185,13.249128,-1.969436,1.2790761,13.1689634,-1.82553279,0.027098736666666696
1.5,0.0,-0.0,0.0,1.2615185,13.249128,-1.969436,1.2790761,13.1689634,-1.82553279,1.3488626,13.382686,-2.1083035,1.3488626,13.382686,-2.1083035,1.28679371,13.2744036,-1.94416082,0.002069536666666464
2.0,-0.0,-0.0,0.0,1.3488626,13.382686,-2.1083035,1.28679371,13.2744036,-1.94416082,1.4141995,13.447433,-2.3607786,1.3488626,13.382686,-2.1083035,1.34982085,13.3836441,-2.10734534,9.581699999999435E-4
2.5,0.0,0.0,0.0,1.3488626,13.382686,-2.1083035,1.34982085,13.3836441,-2.10734534,1.4523388,13.448515,-2.573511,1.4141995,13.447433,-2.3607786,1.410186,13.44342,-2.364792,0.004013299999999849
3.0,-0.0,-0.0,-0.0,1.4141995,13.447433,-2.3607786,1.410186,13.44342,-2.364792,1.4523388,13.448515,-2.573511,1.4523388,13.448515,-2.573511,1.4287926,13.4249687,-2.597057,0.023546166666666608
3.5,-0.0,-0.0,-0.0,1.4523388,13.448515,-2.573511,1.4287926,13.4249687,-2.597057,1.3685548,13.295359,-2.9298294,1.4523388,13.448515,-2.573511,1.4033308,13.3301344,-2.89505339,0.16297699666666698
4.0,-7.987176652640007E-4,-0.0019293314651598048,-0.005240401302322219,1.4523388,13.448515,-2.573511,1.4033308,13.3301344,-2.89505339,1.2488775,13.012516,-3.436777,1.3685548,13.295359,-2.9298294,1.29370046,13.0573387,-3.39195418,0.2583331399999995
4.5,-0.00193373566948276,-0.006148853148274157,-0.011938214548920896,1.3685548,13.295359,-2.9298294,1.29370046,13.0573387,-3.39195418,1.2488775,13.012516,-3.436777,1.2488775,13.012516,-3.436777,1.26704466,13.0102739,-3.47182584,0.006374593333333678
